Name,Attendance/Record,Class,Day,Date,Edits,From/To,Topics,Type,day
EM - III,,Engineering Mathematics 8,Friday,17/09/2021,,,,📒 Lesson,
Economics,,Economics,Monday,13/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,17/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,13/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,14/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,15/09/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,13/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,14/09/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,15/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 8,Monday,13/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,14/09/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,16/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,13/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,17/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,17/09/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,20/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,21/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,22/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,24/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,21/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,22/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,23/09/2021,,,,📒 Lesson,
Economics,,Economics,Friday,24/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,20/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 9,Tuesday,21/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,22/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 9,Friday,24/09/2021,,,,📒 Lesson,
Economics,,Economics,Monday,20/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,24/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,20/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,21/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,22/09/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,20/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,21/09/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,22/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 9,Monday,20/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,21/09/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,23/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,20/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,24/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,24/09/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,27/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,28/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,29/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,01/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,28/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,29/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,30/09/2021,,,,📒 Lesson,
Economics,,Economics,Friday,01/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,27/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 10,Tuesday,28/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,29/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 10,Friday,01/10/2021,,,,📒 Lesson,
Economics,,Economics,Monday,27/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,01/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,27/09/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,28/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,29/09/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,27/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,28/09/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,29/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 10,Monday,27/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,28/09/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,30/09/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,27/09/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,01/10/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,01/10/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,04/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,05/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,06/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,08/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,05/10/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,06/10/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,07/10/2021,,,,📒 Lesson,
Economics,,Economics,Friday,08/10/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,04/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 11,Tuesday,05/10/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,06/10/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 11,Friday,08/10/2021,,,,📒 Lesson,
